Phrase,Neighbours
#NAME?,"name hints, name entered, early name, name rather, file name, name givens rotation, name positive matrix factorization"
0 - sparse graphs,"1 - sparse graphs, 6 - sparse graph, sparse graph, k - sparse graphs, sparse grids, sparse grid, sparse structure, symmetric sparse matrix, sparse approximation, large sparse matrices"
000 testing images,"000 training images, 250 million images, process digital images, google images, complex images, since images, adjusted significance testing, perioperative testing, images representing letters"
000 training images,"000 testing images, training data, labeled training data, entire training data set, training set, 250 million images, neural networks training, process digital images, since images, google images"
1  became important,"important part, becoming increasingly important, particularly important, important example, important role, important examples, important function, one extremely important characteristic, important task, important role since non"
1 - sparse graphs,"0 - sparse graphs, 6 - sparse graph, k - sparse graphs, sparse graph, sparse grids, sparse grid, 1 - tight graphs, sparse structure, symmetric sparse matrix, large sparse matrices"
1 - tight graphs,"3 - tight graphs, 1 - sparse graphs, corresponding graphs, simple directed graphs, 0 - sparse graphs, directed graphs, k - sparse graphs, directed graphs without loops, allows directed graphs, allow directed graphs"
1 architectural view model,"structured model, graphical model, semi-structured model, geometrical model, directed graphical model, idealized model, model context, physical model, business model type, specific model"
1 basic linear algebra subroutines,"basic linear algebra subroutines, basic linear algebra subprograms, basic linear algebra, linear algebra, numerical linear algebra, applied linear algebra, fortran basic linear algebra subprograms, performing common linear algebra operations, numerical linear algebra uses properties, sometimes called applied linear algebra"
1 cache misses,"cache misses occur, different cache memory, different cache block, cpu cache, cache model used, cache coherence, called cache coherence, original sun 1 memory management unit, special database 1, 1 - sparse graphs"
1 computer graphics system,"computer graphics, graphics system, computer graphics need, 3d computer graphics, graphics system may combine, 3d core graphics system, digital computer, rendering realistic 3d computer graphics, computer monitor using, computer programs"
1 symmetric functions,"symmetric functions, commonly encountered symmetric functions, symmetric polynomials, symmetric term, symmetric interpretations, symmetric level, symmetric boolean functions, also symmetric boolean functions, simpler functions, symmetric boolean function"
17 without rounding,"conveniently eliminates rounding errors, n runs without, calculate without writing variables, without using 3d maps, without input, without encryption padding, clarify overall concepts without concern, without routing, functions without, hand without drawing unnecessary attention"
1956  quasiharmonic modes,two modes
1973 nbs solicited private industry,"private key, private key set, data processing industry"
1975 distributed artificial intelligence emerged,"distributed artificial intelligence, distributed artificial intelligence systems, artificial intelligence, artificial intelligence concerned, artificial intelligence research dedicated, use artificial intelligence, artificial intelligence laboratory, traditional artificial intelligence, also called decentralized artificial intelligence, symbolic artificial intelligence"
1985 provided simulations,"simulations show, computer intensive simulations, md simulations, like crash simulations, switching circuit theory provided, operator overloading facilities provided, redundancy provided, specific types provided, current clarity data provided, password provided"
1987  empirical component analysis,"principal component analysis, principal component analysis  eckartyoung theorem, component parts, empirical eigenfunction decomposition, empirical eigenfunction, empirical orthogonal functions, virtual machine component, 1987 ai magazine article"
1987 ai magazine article,"article published, article deals, emotion ai, ai control problem, ai control problem might, 1987  empirical component analysis"
1989 stochastic diffusion search,"stochastic diffusion search, stochastic process, stochastic model used, stochastic gradient descent, stochastic optimization, stochastic version, stochastic weights, stochastic optimization algorithms, stochastic differential equations, stochastic matrix"
