IfCS,Phrase,Correct,Probablity,Attention,Distance
0,many evolutionary algorithms,,0.5505944490432739,"0.2161, 0.2277, 0.0652, 0.2455, 0.2455",0.6973835825920105
0,cambridge quantum computing,,0.6682853698730469,"0.2379, 0.2466, 0.0175, 0.2490, 0.2490",0.5487892031669617
0,pattern language,,0.5713837146759033,"0.2022, 0.1093, 0.2295, 0.2295, 0.2295",0.8104945421218872
0,efficient retrieval,,0.9916744232177734,"0.2255, 0.0443, 0.2434, 0.2434, 0.2434",0.7700886875391006
0,overlapping loop iterations,,0.5690325498580933,"0.2336, 0.2324, 0.0511, 0.2415, 0.2415",0.9518773593008518
0,large database,,0.5553575754165649,"0.2422, 0.1319, 0.2086, 0.2086, 0.2086",0.741068422794342
0,realistic rendering,,0.562980592250824,"0.2251, 0.0627, 0.2374, 0.2374, 0.2374",0.761649489402771
0,find high,,0.6542459726333618,"0.0349, 0.2446, 0.2402, 0.2402, 0.2402",0.8419485986232758
0,mathematical reasoning,,0.5626161098480225,"0.2441, 0.0141, 0.2473, 0.2473, 0.2473",0.7747852057218552
0,model sequences,,0.8193691968917847,"0.0793, 0.2007, 0.2400, 0.2400, 0.2400",0.7955507636070251
0,symmetric sparse matrix,,0.7979380488395691,"0.2007, 0.1843, 0.2024, 0.2063, 0.2063",0.9395392462611198
0,intelligence analysis,,0.7557058930397034,"0.1718, 0.0852, 0.2477, 0.2477, 0.2477",0.5776933133602142
0,pure tridiagonal matrix algorithm,,1.1765670776367188,"0.2017, 0.2459, 0.2350, 0.0706, 0.2469",0.978141438215971
0,analog image processing,,0.6370142102241516,"0.2346, 0.1925, 0.0747, 0.2491, 0.2491",0.7058367133140564
0,expression computational intelligence,,0.9476810693740845,"0.1829, 0.2007, 0.1171, 0.2497, 0.2497",0.5953657031059265
0,simpler functions,,0.6389833688735962,"0.1770, 0.0976, 0.2418, 0.2418, 0.2418",0.848719909787178
0,adjusting heap,,0.5481624007225037,"0.1617, 0.1081, 0.2434, 0.2434, 0.2434",0.9406144134700298
0,time compilers,,0.5418224334716797,"0.2247, 0.0641, 0.2371, 0.2371, 0.2371",0.7533068954944611
0,computationally intelligent,,0.8272745609283447,"0.2192, 0.0416, 0.2464, 0.2464, 0.2464",0.545166552066803
0,message authentication codesiso,,1.1133569478988647,"0.0623, 0.2038, 0.2366, 0.2486, 0.2486",0.8605632781982422
0,oriented decomposition,,0.5263611078262329,"0.1535, 0.1369, 0.2365, 0.2365, 0.2365",0.7428902387619019
0,generalized form,,0.5043915510177612,"0.2375, 0.0236, 0.2463, 0.2463, 0.2463",0.9714896772056818
0,processing data streams,,0.7761256098747253,"0.2104, 0.1175, 0.1728, 0.2496, 0.2496",0.6739491522312164
0,balancing binary search trees,,1.2020888328552246,"0.2437, 0.2179, 0.0700, 0.2192, 0.2492",0.744867593050003
0,path trees,,0.7078295350074768,"0.1882, 0.1288, 0.2276, 0.2276, 0.2276",0.9101908206939697
0,finite simple graph,,0.9472849369049072,"0.2440, 0.1955, 0.0738, 0.2433, 0.2433",0.843365877866745
0,ticket checker,,0.6239896416664124,"0.2261, 0.0733, 0.2335, 0.2335, 0.2335",0.9664306081831455
0,emotion ai,,0.5134279131889343,"0.1753, 0.0857, 0.2464, 0.2464, 0.2464",0.8448952287435532
0,quaternary floating point  base three,,0.6865012645721436,"0.2430, 0.2315, 0.0922, 0.2411, 0.1922",0.9393712356686592
0,order scheduling,,0.5024637579917908,"0.1484, 0.1349, 0.2389, 0.2389, 0.2389",0.8530519902706146
0,coded character sets,,0.8108850717544556,"0.1798, 0.1328, 0.1928, 0.2473, 0.2473",0.9958828897215426
0,party communication complexity,,0.5527763366699219,"0.1568, 0.1424, 0.2376, 0.2316, 0.2316",0.8224986642599106
0,adaptive methods,,0.5116769671440125,"0.2276, 0.0392, 0.2444, 0.2444, 0.2444",0.8369432538747787
0,biconjugate gradient stabilized method,,0.5886049270629883,"0.2359, 0.2358, 0.2421, 0.0394, 0.2467",0.9553398378193378
0,sharing route,,0.6517103910446167,"0.0560, 0.2126, 0.2438, 0.2438, 0.2438",0.9326470270752907
0,pneumatic logic,,0.7655268907546997,"0.2163, 0.0617, 0.2406, 0.2406, 0.2406",0.7787172794342041
0,remotely connecting,,0.6441437005996704,"0.1873, 0.1009, 0.2372, 0.2372, 0.2372",0.8525308519601822
0,bit mips architecture,,0.7473916411399841,"0.1196, 0.2064, 0.1907, 0.2416, 0.2416",0.7404312789440155
0,computational anatomy,,0.6393333673477173,"0.1492, 0.1178, 0.2444, 0.2444, 0.2444",0.5982653498649597
0,core processor,,0.7871928811073303,"0.0962, 0.2074, 0.2321, 0.2321, 0.2321",0.7111379504203796
0,process plant,,0.6376239061355591,"0.0774, 0.1781, 0.2482, 0.2482, 0.2482",0.7707138061523438
0,symmetric boolean functions,,0.819200873374939,"0.2455, 0.1627, 0.1037, 0.2441, 0.2441",0.9707352910190821
0,free space,,0.6259541511535645,"0.0657, 0.2322, 0.2340, 0.2340, 0.2340",0.8170657306909561
0,partial trace,,0.575927734375,"0.1695, 0.1216, 0.2363, 0.2363, 0.2363",0.8975985944271088
0,automated space docking,,0.50545334815979,"0.0801, 0.2204, 0.2036, 0.2479, 0.2479",0.7565741240978241
0,target code technique,,0.6024900078773499,"0.1833, 0.1642, 0.1604, 0.2460, 0.2460",0.7753206193447113
0,1989 stochastic diffusion search,,0.72504061460495,"0.2385, 0.2465, 0.2392, 0.0264, 0.2494",0.7511809021234512
0,probabilistic parsing mechanism,,0.7265059947967529,"0.2095, 0.1729, 0.1293, 0.2442, 0.2442",0.7682482600212097
0,computer program trained,,0.6269179582595825,"0.2125, 0.1177, 0.1719, 0.2489, 0.2489",0.38999998569488525
0,independent processors,,0.5548845529556274,"0.1379, 0.1616, 0.2335, 0.2335, 0.2335",0.5924859344959259
0,minimum stable convergence criteria,,0.5867174863815308,"0.2259, 0.2376, 0.2291, 0.1164, 0.1910",0.9015896022319794
0,inverse system,,0.5054460167884827,"0.2040, 0.0621, 0.2446, 0.2446, 0.2446",0.762045219540596
0,iteratively solving,,0.7561496496200562,"0.2395, 0.0234, 0.2457, 0.2457, 0.2457",0.7770276218652725
0,randomized meldable heap,,0.6799511313438416,"0.2421, 0.1562, 0.1073, 0.2472, 0.2472",0.8351101875305176
0,key calculation,,0.5477906465530396,"0.1329, 0.1843, 0.2276, 0.2276, 0.2276",0.8052425682544708
0,propositional calculuswhich sets,,0.8008776903152466,"0.2104, 0.1887, 0.1311, 0.2349, 0.2349",0.9593429863452911
0,verification problems,,0.6203137636184692,"0.0984, 0.1774, 0.2414, 0.2414, 0.2414",0.8085568249225616
0,ambient network,,0.6133095622062683,"0.1598, 0.0988, 0.2471, 0.2471, 0.2471",0.7390352189540863
0,empty location,,0.6009260416030884,"0.1331, 0.1748, 0.2307, 0.2307, 0.2307",0.9540843777358532
0,index data structure,,0.6220128536224365,"0.2075, 0.0665, 0.2397, 0.2431, 0.2431",0.7693687081336975
0,small data,,0.5384230613708496,"0.1981, 0.0749, 0.2423, 0.2423, 0.2423",0.6988593935966492
0,microevolutionary processes,,0.8133813142776489,"0.2200, 0.0386, 0.2471, 0.2471, 0.2471",0.7261450886726379
0,process pixel data,,0.5384051203727722,"0.1852, 0.2346, 0.0811, 0.2495, 0.2495",0.6871035695075989
0,square cipher,,0.8210094571113586,"0.2408, 0.0647, 0.2315, 0.2315, 0.2315",0.8527294397354126
0,simplest markov model,,0.8984854817390442,"0.2173, 0.2223, 0.0653, 0.2475, 0.2475",0.816478967666626
0,redblack trees,,0.5607589483261108,"0.0606, 0.2108, 0.2429, 0.2429, 0.2429",0.8890884816646576
0,constant feedback loops,,0.5523301959037781,"0.2283, 0.1228, 0.2029, 0.2230, 0.2230",0.9019924774765968
0,order function orelse,,0.7278347611427307,"0.1813, 0.1227, 0.2093, 0.2433, 0.2433",0.8975910395383835
0,modelling software,,0.6557728052139282,"0.2047, 0.0481, 0.2491, 0.2491, 0.2491",0.6022297739982605
0,transfer data,,0.8741427659988403,"0.2165, 0.0397, 0.2479, 0.2479, 0.2479",0.751191645860672
0,financial value,,0.6525132656097412,"0.1013, 0.1806, 0.2393, 0.2393, 0.2393",0.862540677189827
0,row summing,,0.5959001779556274,"0.1624, 0.1837, 0.2180, 0.2180, 0.2180",0.9208283573389053
0,linear regression focuses,,0.8750603199005127,"0.2415, 0.1637, 0.0966, 0.2491, 0.2491",0.8717964738607407
0,access information,,0.5103026628494263,"0.2153, 0.0414, 0.2478, 0.2478, 0.2478",0.6646763384342194
0,solving sparse linear systems,,0.5934486985206604,"0.0778, 0.2342, 0.2406, 0.1987, 0.2487",0.7932098805904388
0,mrf  markov network,,1.3185886144638062,"0.1856, 0.2479, 0.2276, 0.0910, 0.2479",0.6965922117233276
0,finite state machine,,0.8070752024650574,"0.2467, 0.2167, 0.0539, 0.2414, 0.2414",0.6681383848190308
0,long range numerical weather prediction,,0.8712985515594482,"0.2380, 0.2483, 0.2436, 0.2027, 0.0674",0.955680999904871
0,special dynamic memory allocation libraries,,0.66251140832901,"0.2444, 0.2429, 0.1983, 0.1460, 0.1684",0.798175036907196
0,label classification problem,,0.7860363125801086,"0.1779, 0.1039, 0.2239, 0.2472, 0.2472",0.9018073678016663
0,uniform model,,0.6190251111984253,"0.2173, 0.0767, 0.2353, 0.2353, 0.2353",0.7922094017267227
0,hidden state reparameterizations,,0.6323567032814026,"0.1233, 0.1732, 0.2345, 0.2345, 0.2345",0.8019553869962692
0,input number,,0.8258007764816284,"0.0891, 0.2139, 0.2323, 0.2323, 0.2323",0.8711818903684616
0,nearest neighbors algorithm,,0.8076862096786499,"0.2395, 0.2442, 0.0288, 0.2438, 0.2438",0.884622186422348
0,robust results,,0.601682186126709,"0.2148, 0.0756, 0.2365, 0.2365, 0.2365",0.8003162741661072
0,application delivery network,,0.6897355318069458,"0.1718, 0.1616, 0.1678, 0.2494, 0.2494",0.6886994540691376
0,redeveloping logic,,0.6873937845230103,"0.1692, 0.0967, 0.2447, 0.2447, 0.2447",0.7755205184221268
0,minimum intelligent signal test,,0.6319193840026855,"0.2485, 0.2359, 0.1623, 0.1043, 0.2491",0.722801923751831
