IfCS,Phrase,Correct,Probablity,Attention,Distance
0,maxima computer algebra system,,0.5384697318077087,"0.2466, 0.2018, 0.1232, 0.2199, 0.2085",0.6263843774795532
0,evaluate computer software,,0.6950482726097107,"0.2487, 0.2487, 0.2281, 0.1494, 0.1251",0.42213892936706543
0,asynchronous loading,,0.6529366374015808,"0.2238, 0.2238, 0.2238, 0.2008, 0.1279",0.8757135421037674
0,random projection,,0.6020025610923767,"0.2187, 0.2187, 0.2187, 0.1572, 0.1866",0.835306242108345
0,human learning,,0.5085163712501526,"0.2224, 0.2224, 0.2224, 0.2148, 0.1179",0.7032551169395447
0,empirical eigenfunction decomposition,,0.7173054814338684,"0.2444, 0.2444, 0.1587, 0.2049, 0.1477",0.7993006706237793
0,semantically secure,,0.5731574296951294,"0.2385, 0.2385, 0.2385, 0.1388, 0.1457",0.7608884871006012
0,classical economic mechanism design,,0.5148976445198059,"0.2370, 0.2391, 0.1809, 0.1878, 0.1553",0.8071197122335434
0,technology database,,0.8366778492927551,"0.2463, 0.2463, 0.2463, 0.0821, 0.1789",0.4554101228713989
0,order logic,,0.635788083076477,"0.2206, 0.2206, 0.2206, 0.2363, 0.1018",0.8254072368144989
0,smb2  server message block,,0.5010097026824951,"0.1647, 0.2405, 0.1524, 0.2065, 0.2360",0.939074520021677
0,abstract framework,,0.519939661026001,"0.2403, 0.2403, 0.2403, 0.2236, 0.0554",0.8188519030809402
0,value distribution,,0.6244649887084961,"0.2242, 0.2242, 0.2242, 0.2155, 0.1120",0.8322124034166336
0,based learning,,0.5420547127723694,"0.2427, 0.2427, 0.2427, 0.1766, 0.0953",0.6836716830730438
0,measured data,,0.590010941028595,"0.2380, 0.2380, 0.2380, 0.2355, 0.0507",0.719760537147522
0,computer intensive simulations,,0.7030181884765625,"0.2230, 0.2230, 0.0763, 0.2369, 0.2408",0.5449268817901611
0,dimensional generalization,,0.5481280088424683,"0.2283, 0.2283, 0.2283, 0.2109, 0.1042",0.8243590891361237
0,asr  computer speech recognition,,0.7545509338378906,"0.2180, 0.2443, 0.1976, 0.2475, 0.0926",0.6445648968219757
0,matrix structures,,0.5311226844787598,"0.2078, 0.2078, 0.2078, 0.1728, 0.2038",0.9225160181522369
0,wan optimization controllers,,0.5967147350311279,"0.2401, 0.2401, 0.1118, 0.2173, 0.1907",0.838063657283783
0,transmitting data,,0.6367480158805847,"0.2424, 0.2424, 0.2424, 0.1649, 0.1078",0.7066499888896942
0,computational cognitive psychology,,0.8313370943069458,"0.2330, 0.2330, 0.2081, 0.1194, 0.2066",0.6060127019882202
0,probabilistic parsing mechanism,,0.8649517893791199,"0.2450, 0.2450, 0.1912, 0.1665, 0.1522",0.7682482600212097
0,expression computational intelligence,,0.892713189125061,"0.2396, 0.2396, 0.1556, 0.1819, 0.1835",0.5953657031059265
0,storing labeled data,,0.5046280026435852,"0.2460, 0.2460, 0.2255, 0.1803, 0.1022",0.7568074613809586
0,backpropagation through structure,,0.5216736793518066,"0.2402, 0.2402, 0.2201, 0.0726, 0.2269",0.9105737209320068
0,function evaluates,,0.6079927086830139,"0.2345, 0.2345, 0.2345, 0.1636, 0.1329",0.9312770888209343
0,technology intelligence branches,,0.5871966481208801,"0.2413, 0.2413, 0.0940, 0.2235, 0.1999",0.4118322730064392
0,basic randomized complexity class,,0.5556192398071289,"0.2274, 0.2046, 0.1711, 0.2143, 0.1826",0.7213746011257172
0,case gradient descent,,0.6509390473365784,"0.2311, 0.2311, 0.1894, 0.1889, 0.1596",0.8750094473361969
0,small data,,0.5909234881401062,"0.2257, 0.2257, 0.2257, 0.2330, 0.0900",0.6988593935966492
0,software engineering body,,0.8977605104446411,"0.2449, 0.2449, 0.0505, 0.2111, 0.2487",0.44982725381851196
0,observation function,,0.7017024755477905,"0.2339, 0.2339, 0.2339, 0.2277, 0.0707",0.7403550446033478
0,joint density matrix,,0.707625687122345,"0.2203, 0.2203, 0.1468, 0.2211, 0.1915",0.9427706561982632
0,mrf  markov network,,0.954319417476654,"0.2477, 0.1251, 0.2477, 0.1815, 0.1981",0.6965922117233276
0,biological data,,0.7146881222724915,"0.2405, 0.2405, 0.2405, 0.1872, 0.0914",0.6737802028656006
0,dimensional complexity theory,,0.6031284928321838,"0.2305, 0.2305, 0.2108, 0.2110, 0.1172",0.810402438044548
0,standard computer algorithms,,0.8405047655105591,"0.2460, 0.2460, 0.1740, 0.1281, 0.2059",0.4995913505554199
0,digital  web pages,,0.8724205493927002,"0.2489, 0.0809, 0.2489, 0.1827, 0.2387",0.6059304177761078
0,virtual world,,0.5411208868026733,"0.2417, 0.2417, 0.2417, 0.0767, 0.1982",0.6465910971164703
0,relative computability,,0.5063656568527222,"0.2306, 0.2306, 0.2306, 0.1581, 0.1502",0.5609012544155121
0,place matrix transposition,,0.5201477408409119,"0.2110, 0.2110, 0.1830, 0.2074, 0.1876",0.992016801610589
0,computational systems,,0.521748960018158,"0.2311, 0.2311, 0.2311, 0.2054, 0.1015",0.5226759314537048
0,doubly stochastic matrix,,0.6834830641746521,"0.2363, 0.2363, 0.1358, 0.2043, 0.1872",0.900584377348423
0,computing power,,0.9312787055969238,"0.2406, 0.2406, 0.2406, 0.0432, 0.2350",0.43523913621902466
0,digital circuits,,0.9704598188400269,"0.2443, 0.2443, 0.2443, 0.0351, 0.2321",0.5685949921607971
0,computer architecture courses,,1.0703988075256348,"0.2409, 0.2409, 0.0713, 0.2300, 0.2169",0.3830590844154358
0,computer science subfields,,0.8378657698631287,"0.2397, 0.2397, 0.0728, 0.2163, 0.2314",0.29570508003234863
0,google code,,0.8800806403160095,"0.2337, 0.2337, 0.2337, 0.1311, 0.1678",0.8613620400428772
0,domain method,,0.7247570157051086,"0.2380, 0.2380, 0.2380, 0.1506, 0.1353",0.8144780397415161
0,linear behavior,,0.5023639798164368,"0.2145, 0.2145, 0.2145, 0.1382, 0.2183",0.8255961984395981
0,time recurrent neural networks,,0.9247835278511047,"0.2480, 0.2060, 0.1854, 0.1690, 0.1917",0.7483715415000916
0,digital converters,,0.5952940583229065,"0.2444, 0.2444, 0.2444, 0.0646, 0.2021",0.6801652014255524
